,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
0,2021,Education (Higher Education),Research and Instruction Librarian,Legendary Level,Master's degree,Female,USD 55000,USD 0,USD 55000,Mid Life,United States,Boston,White
1,2021,Computing or Tech,Change & Internal Communications Manager,Experienced Level,College degree,Non Binary,GBP 54600,GBP 4000,GBP 58600,Mid Life,United Kingdom,Cambridge,White
3,2021,Nonprofits,Program Manager,Experienced Level,College degree,Female,USD 62000,USD 3000,USD 65000,Mid Life,United States,Milwaukee,White
4,2021,"Accounting, Banking & Finance",Accounting Manager,Experienced Level,College degree,Female,USD 60000,USD 7000,USD 67000,Mid Life,Australia,Greenville,White
6,2021,Publishing,Publishing Assistant,Junior Level,College degree,Female,USD 33000,USD 2000,USD 35000,Mid Life,United States,Columbia,White
8,2021,Computing or Tech,Systems Analyst,Veteran Level,College degree,Female,USD 112000,USD 10000,USD 122000,Experienced,Australia,St. Louis,White
9,2021,"Accounting, Banking & Finance",Senior Accountant,Veteran Level,College degree,Female,USD 45000,USD 0,USD 45000,Junior,United States,Palm Coast,Multiracial
10,2021,Nonprofits,Office Manager,Legendary Level,College degree,Female,USD 47500,USD 0,USD 47500,Mid Life,United States,"Boston, MA",White
11,2021,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,Senior Level,PhD,Female,USD 62000,USD 0,USD 62000,Junior,United States,Scranton,Multiracial
12,2021,"Accounting, Banking & Finance",Manager of Information Services,Senior Level,College degree,Male,USD 100000,USD 0,USD 100000,Junior,United States,Detroit,Multiracial
15,2021,Utilities & Telecommunications,Quality And Compliance Specialist,Senior Level,College degree,Male,GBP 24000,GBP 500,GBP 24500,Junior,United Kingdom,Lincoln,White
16,2021,Business or Consulting,Executive Assistant,Experienced Level,Some college,Female,USD 85000,USD 5000,USD 90000,Junior,United States,Chicago,White
18,2021,Business or Consulting,Senior Manager,Senior Level,Master's degree,Female,USD 98000,USD 1000,USD 99000,Junior,United States,Atlanta,White
20,2021,Health care,Data Programmer Analyst,Legendary Level,Master's degree,Female,USD 74000,USD 0,USD 74000,Mid Life,United States,Philadelphia,White
23,2021,Government and Public Administration,Researcher,Experienced Level,PhD,Female,USD 96000,USD 1000,USD 97000,Junior,United States,Dayton,Asian or Asian American
25,2021,Education (Higher Education),Communications Specialist,Senior Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Junior,United States,Ann Arbor,White
27,2021,Law,Bookkeeper/Billing Manager,Senior Level,College degree,Female,USD 48000,USD 4000,USD 52000,Junior,United States,Silver Spring,Other or Prefer not to answer
31,2021,Media & Digital,Editor,Senior Level,Master's degree,Female,USD 125000,USD 0,USD 125000,Junior,United States,"Washington, DC",White
33,2021,"Accounting, Banking & Finance",Accounting Manager,Veteran Level,College degree,Female,USD 110000,USD 15000,USD 125000,Junior,Australia,Richmond,White
35,2021,Education (Higher Education),Senior IRB Analyst,Legendary Level,Master's degree,Female,USD 68000,USD 0,USD 68000,Junior,United States,Research Triangle,White
36,2021,Media & Digital,Reporter,Junior Level,College degree,Female,USD 41000,USD 100,USD 41100,Young,United States,Kalamazoo,White
